request_id,mode,rank,score,hit_category,hit_source,hit_id,snippet,highlight
1,knn,1,0.8870903,badminton,5673-17122-1-PB.pdf,356,"Badminton, as a sport that demands speed, accuracy, and agility, often causes injuries to players. These injuries can re",
1,knn,2,0.8869115,badminton,5673-17122-1-PB.pdf,371,"In this systematic review process, we identified 150 potential studies through electronic database searches and manual r",
1,knn,3,0.8825331,badminton,5673-17122-1-PB.pdf,385,"From this systematic review, it was found that evidence-based approaches in badminton injury rehabilitation play a cruci",
1,knn,4,0.881992,badminton,5673-17122-1-PB.pdf,380,The findings of this systematic review highlight the importance of evidence-based rehabilitation approaches in managing ,
1,knn,5,0.8778028,badminton,5673-17122-1-PB.pdf,376,"In an in-depth exploration of the effectiveness of different injury rehabilitation approaches in badminton, the research",
1,knn,6,0.8769918,badminton,KNEE_JOINT_REHABILITATION_IN_BADMINTON_ATHLETES.pdf,457,"In the sport process of badminton, players need to constantly change their positions according to the actual situation o",
1,knn,7,0.87660724,badminton,fpsyg-13-947877.pdf,252,"Badminton is considered as one of the fastest racket sports (Phomsoupha and Laffaye, 2015; Abdullahi and Coetzee, 2017; ",
1,knn,8,0.8738612,badminton,5673-17122-1-PB.pdf,377,"1. Physical Therapy: Physical therapy, including specialised exercises to improve strength, flexibility, and balance, sh",
1,knn,9,0.8727243,badminton,5673-17122-1-PB.pdf,358,"Badminton, recognized as one of the most popular sports in the world, demands extreme speed, accuracy, and endurance fro",
1,knn,10,0.8718955,badminton,5673-17122-1-PB.pdf,384,The findings of this systematic review pave the way for various future research directions that are important to develop,
1,hybrid,1,25.48721,badminton,5673-17122-1-PB.pdf,384,The findings of this systematic review pave the way for various future research directions that are important to develop,to develop and strengthen the evidence base <em>in</em> <em>badminton</em> injury <em>rehabilitation</em>.
1,hybrid,2,22.93311,badminton,5673-17122-1-PB.pdf,356,"Badminton, as a sport that demands speed, accuracy, and agility, often causes injuries to players. These injuries can re","<em>Badminton</em>, as a sport that demands speed, accuracy, and agility, often causes <em>injuries</em> to <em>players</em>."
1,hybrid,3,22.874605,badminton,KNEE_JOINT_REHABILITATION_IN_BADMINTON_ATHLETES.pdf,440,"Tiejun Zhang Zhengzhou, Henan, China. 450046. zhangtiejun2020@163.com <!-- image --> Original article Artigo origin Al A","common <em>in</em> <em>badminton</em>, and the <em>knee</em> joint is the <em>most</em> affected."
1,hybrid,4,22.798134,badminton,5673-17122-1-PB.pdf,358,"Badminton, recognized as one of the most popular sports in the world, demands extreme speed, accuracy, and endurance fro","<em>Badminton</em>, recognized as one of the <em>most</em> popular sports <em>in</em> the world, demands extreme speed, accuracy"
1,hybrid,5,21.68567,badminton,#1 Injury Prevention Tips for Badminton.pdf,329,- Most Common Badminton Injuries - Tips for badminton injury - Tips to Avoid Strain - Importance of Rest and Stretching ,- <em>Most</em> Common <em>Badminton</em> <em>Injuries</em> - Tips <em>for</em> <em>badminton</em> injury - Tips to Avoid Strain - Importance of Rest
1,hybrid,6,21.526886,badminton,badminton-related-musculoskeletal-injuries-in-senior-players-epidemiology-and-preventive-strategies-15917.pdf,43,"Badminton is a sport that can cause injuries, although most are not caused by body-to-body contact [6, 21]. This may res","<em>Badminton</em> is a sport that can cause <em>injuries</em>, although <em>most</em> <em>are</em> not caused by body-to-body contact [6"
1,hybrid,7,20.514729,badminton,5673-17122-1-PB.pdf,385,"From this systematic review, it was found that evidence-based approaches in badminton injury rehabilitation play a cruci","From this systematic review, it was found that evidence-based approaches <em>in</em> <em>badminton</em> injury <em>rehabilitation</em>"
1,hybrid,8,19.57028,badminton,5673-17122-1-PB.pdf,371,"In this systematic review process, we identified 150 potential studies through electronic database searches and manual r","<em>in</em> <em>badminton</em>, methodological quality, and novelty of data, we screened and selected 26 studies <em>for</em> further"
1,hybrid,9,19.42439,badminton,badminton-related-musculoskeletal-injuries-in-senior-players-epidemiology-and-preventive-strategies-15917.pdf,53,"The strength of this study lies in its large sample size, which includes senior badminton players. However, this study h","The strength of this study lies <em>in</em> its large sample size, which includes senior <em>badminton</em> <em>players</em>."
1,hybrid,10,19.302353,badminton,KNEE_JOINT_REHABILITATION_IN_BADMINTON_ATHLETES.pdf,453,Knee joint injuries can be divided into two categories: chronic knee joint injuries and acute knee joint injuries. Gener,<em>Knee</em> joint <em>injuries</em> can be divided into two categories: chronic <em>knee</em> joint <em>injuries</em> and acute <em>knee</em> joint
2,knn,1,0.8924408,badminton,5673-17122-1-PB.pdf,361,"The importance of understanding and preventing injuries in badminton must be considered, given their impact on player he",
2,knn,2,0.88154495,badminton,bmjsem-10-4.pdf,405,"Objectives As a high- intensity intermittent sport with short and repeated rapid accelerations, decelerations and change",
2,knn,3,0.878016,badminton,Common Badminton Injuries and Their Preventions.pdf,387,- Focuses on common badminton injuries and their prevention strategies. - Discusses the specific injuries commonly seen ,
2,knn,4,0.87797993,badminton,#1 Injury Prevention Tips for Badminton.pdf,330,"Before diving into prevention, let's understand the types of injuries badminton players most frequently encounter.",
2,knn,5,0.8737459,badminton,bmjsem-10-4.pdf,409,"- With the help of knowledge about informative predictors (gender, age, training level, stress and strain parameters, et",
2,knn,6,0.87326074,badminton,badminton-related-musculoskeletal-injuries-in-senior-players-epidemiology-and-preventive-strategies-15917.pdf,50,"To our knowledge, no comprehensive guidelines exist for preventing lower limb injuries in badminton. It was identified s",
2,knn,7,0.8696604,badminton,#1 Injury Prevention Tips for Badminton.pdf,344,Adhering to the best badminton injury prevention advice can cut your risk substantially. These are warming up thoroughly,
2,knn,8,0.8678912,badminton,applsci-14-05194.pdf,208,These injuries not only diminish the performance of elite athletes but also adversely affect the sustained engagement of,
